"Merchandise exports by the reporting economy, residual",7.1,5.45,3.63,3.61,2.48,1.24,2.09
Sub-Saharan Africa,1.13,0.62,0.88,1.69,1.96,1.72,1.04
South Asia,1.76,1.76,2.03,2.91,4.17,6.86,4.79
Middle East & North Africa,3.57,2.65,1.32,1.93,1.53,0.68,0.61
Latin America & the Caribbean,0.79,0.84,0.92,1.05,1.14,1.26,0.91
Europe & Central Asia,0.31,0.56,0.7,0.79,0.57,0.85,0.6
East Asia & Pacific,11.5,11.19,14.58,16,18.22,26.72,40.54
high-income economies,73.8,76.87,75.91,71.99,69.89,60.62,49.37
